ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GAB,Ogooué-Lolo,237720,Women who can read a whole sentence,19.7,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407006,1407060,Region,..Ogooué-Lolo,0,,0,1,EDLITRWRDW,GADHS2012407006,2012,DHS,248,741,,,1
GAB,Haut-Ogooué,5496329,Women who can read a whole sentence,13.1,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407007,1407070,Region,..Haut-Ogooué,0,,0,1,EDLITRWRDW,GADHS2012407007,2012,DHS,729,875,,,1
GAB,West,2732022,Women who can read a whole sentence,11.5,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407008,1407080,Region,West,0,,0,1,EDLITRWRDW,GADHS2012407008,2012,DHS,1187,2085,,,
GAB,Estuaire (excluding Libreville),5126877,Women who can read a whole sentence,10,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407009,1407090,Region,..Estuaire (excluding Libreville),0,,0,1,EDLITRWRDW,GADHS2012407009,2012,DHS,876,844,,,1
GAB,Moyen-Ogooué,2929325,Women who can read a whole sentence,10.9,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407010,1407100,Region,..Moyen-Ogooué,0,,0,1,EDLITRWRDW,GADHS2012407010,2012,DHS,229,681,,,1
GAB,Ogooué-Maritime (excluding Port-Gentil),5490416,Women who can read a whole sentence,28.6,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407011,1407110,Region,..Ogooué-Maritime (excluding Port-Gentil),0,,0,1,EDLITRWRDW,GADHS2012407011,2012,DHS,82,560,,,1
GAB,South,5935850,Women who can read a whole sentence,17.5,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407012,1407120,Region,South,0,,0,1,EDLITRWRDW,GADHS2012407012,2012,DHS,650,1543,,,
GAB,Ngounié,5413834,Women who can read a whole sentence,18.1,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407013,1407130,Region,..Ngounié,0,,0,1,EDLITRWRDW,GADHS2012407013,2012,DHS,467,871,,,1
GAB,Nyanga,4376154,Women who can read a whole sentence,15.9,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDW,231233020,I,407014,1407140,Region,..Nyanga,0,,0,1,EDLITRWRDW,GADHS2012407014,2012,DHS,182,672,,,1
GAB,"Libreville,Port-Gentil",229488,Women who can read part of a sentence,3.5,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDP,231233030,I,407001,1407010,Region,"Libreville,Port-Gentil",0,,0,1,EDLITRWRDP,GADHS2012407001,2012,DHS,4974,1557,,,1
GAB,North,5979451,Women who can read part of a sentence,5,1,GA,Gabon,2012,GA2012DHS,ED_LITR_W_RDP,231233030,I,407002,1407020,Region,North,0,,0,1,EDLITRWRDP,GADHS2012407002,2012,DHS,635,1621,,,
